Branch_Name Customer_Code Customer_Name Customer_Type Category_Name Lat Long Product_Code Product_Description rSales
ECATEPEC 16173 "ABAR ARATH" PLATA RTEC 19.67 -99.0293 1008043774 "PAKETITO FROOT LOOPS 25GR" 15
ECATEPEC 16186 "ABAR ANY ANY" PLATA RTEC 19.676023 -99.026267 1008043774 "PAKETITO FROOT LOOPS 25GR" 28
ECATEPEC 16200 "ABAR LUCAS 2" PLATA RTEC 19.675889 -99.031378 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 16235 "ABAR EL VECINO" PLATA RTEC 19.639284 -99.030824 1008043774 "PAKETITO FROOT LOOPS 25GR" 30
ECATEPEC 16347 "ABAR ABIGAIL" PLATA RTEC 19.656591 -99.008832 1008043774 "PAKETITO FROOT LOOPS 25GR" 3
ECATEPEC 16354 "ABAR JOSY" PLATA RTEC 19.65578 -99.00741 1008043774 "PAKETITO FROOT LOOPS 25GR" 16
ECATEPEC 16367 "ABAR Y CREM CONCHITA" PLATA RTEC 19.649305 -99.012317 1008043774 "PAKETITO FROOT LOOPS 25GR" 3
ECATEPEC 16414 "MISC SR  PATI" PLATA RTEC 19.6389 -99.0123 1008043774 "PAKETITO FROOT LOOPS 25GR" 28
ECATEPEC 16428 "MISC LA PASADITA" PLATA RTEC 19.643666 -99.006403 1008043774 "PAKETITO FROOT LOOPS 25GR" 4
ECATEPEC 16435 "MISC SN  MARTINEZ" PLATA RTEC 19.6428 -99.0082 1008043774 "PAKETITO FROOT LOOPS 25GR" 3
ECATEPEC 16437 "MISC SR  DIANA" PLATA RTEC 19.646 -99.0138 1008043774 "PAKETITO FROOT LOOPS 25GR" 27
ECATEPEC 16439 "ABAR LEYLA" PLATA RTEC 19.5928 -99.0228 1008043774 "PAKETITO FROOT LOOPS 25GR" 32
ECATEPEC 16440 "ABAR MATERIAS PRIMAS" PLATA RTEC 19.5895 -99.0255 1008043774 "PAKETITO FROOT LOOPS 25GR" 9
ECATEPEC 16443 "ABAR SAN LUCAS MICHOACAN" PLATA RTEC 19.5973 -99.0226 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 16451 "MISC VENTANITA LAURA" PLATA RTEC 19.594 -99.0246 1008043774 "PAKETITO FROOT LOOPS 25GR" 6
ECATEPEC 16485 "ABAR NORMITA" PLATA RTEC 19.631 -99.0216 1008043774 "PAKETITO FROOT LOOPS 25GR" 21
ECATEPEC 16492 "ABAR SOFI" PLATA RTEC 19.6293 -99.0208 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 16505 "ABAR LOS ARCOS" PLATA RTEC 19.625423 -99.020803 1008043774 "PAKETITO FROOT LOOPS 25GR" 60
ECATEPEC 16527 "ABAR Y CREM LA HIDALGUENSE" PLATA RTEC 19.6217 -99.0122 1008043774 "PAKETITO FROOT LOOPS 25GR" 21
ECATEPEC 16535 "CREM Y ABAR SARE" PLATA RTEC 19.622904 -99.020086 1008043774 "PAKETITO FROOT LOOPS 25GR" 30
ECATEPEC 16587 "MISC JOSCRIS" PLATA RTEC 19.628493 -99.004879 1008043774 "PAKETITO FROOT LOOPS 25GR" 14
ECATEPEC 16609 "MISC CARMEN" PLATA RTEC 19.644277 -99.005785 1008043774 "PAKETITO FROOT LOOPS 25GR" 27
ECATEPEC 16627 "ABAR EL SURTIDOR" PLATA RTEC 19.669519 -99.005896 1008043774 "PAKETITO FROOT LOOPS 25GR" 12
ECATEPEC 18258 "MISC LA GLORIOSA" PLATA RTEC 19.608786 -99.068287 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 18376 "MISC. LA ROSITA" PLATA RTEC 19.6067 -99.0682 1008043774 "PAKETITO FROOT LOOPS 25GR" 20
ECATEPEC 18381 "ABAR ALONDRA" PLATA RTEC 19.6121 -99.065 1008043774 "PAKETITO FROOT LOOPS 25GR" 24
ECATEPEC 19021 "MISC LA VENTANITA" PLATA RTEC 19.5609 -99.0853 1008043774 "PAKETITO FROOT LOOPS 25GR" 3
ECATEPEC 19223 "MISC LUISA FERNANDA" PLATA RTEC 19.5414 -99.0924 1008043774 "PAKETITO FROOT LOOPS 25GR" 2
ECATEPEC 19234 "ABAR CHUY" PLATA RTEC 19.530086 -99.096297 1008043774 "PAKETITO FROOT LOOPS 25GR" 0
ECATEPEC 19256 "MISC LUPITA" PLATA RTEC 19.5348 -99.0976 1008043774 "PAKETITO FROOT LOOPS 25GR" 35
ECATEPEC 19318 "ABAR NINFA" PLATA RTEC 19.5432 -99.0917 1008043774 "PAKETITO FROOT LOOPS 25GR" 12
ECATEPEC 19351 "ABAR LA GUERA" PLATA RTEC 19.537842 -99.089879 1008043774 "PAKETITO FROOT LOOPS 25GR" 3
ECATEPEC 19354 "ABAR. Y CREM PATY" PLATA RTEC 19.5387 -99.0902 1008043774 "PAKETITO FROOT LOOPS 25GR" 20
ECATEPEC 19360 "JAIME Y FLOR" PLATA RTEC 19.5372 -99.0896 1008043774 "PAKETITO FROOT LOOPS 25GR" 21
ECATEPEC 19397 "MISC RODMEN" PLATA RTEC 19.5407 -99.0921 1008043774 "PAKETITO FROOT LOOPS 25GR" 20
ECATEPEC 19408 "ABAR AMERICA" PLATA RTEC 19.530609 -99.085403 1008043774 "PAKETITO FROOT LOOPS 25GR" 8
